Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
SC,Blake2b,PoW,33098296530.0,0.0,0.37491655763321496,-2.120873519766076,0.3408591082485128,3,Siacoin
EMC,SHA-256,PoW/PoS,43059794.804778,1000000000.0,-0.3056406478250868,0.8091326828097013,-0.3587528037283268,0,Emercoin
EGC,X15,PoW/PoS,13530556.4180753,26298000.0,-0.241323745087163,1.7895576771317363,-0.6424575684244346,0,EverGreenCoin
MND,X11,PoW,15867695.0,16000000.0,-0.22001485381002697,-0.8980059933152621,0.10386129558055253,3,MindCoin
I0C,SHA-256,PoW,20997476.8650231,21000000.0,-0.14081782842197435,-1.3184260577854554,0.20586541402210712,3,I0coin
DCR,BLAKE256,PoW/PoS,10365046.9281661,21000000.0,-0.0703298184460098,0.8111980942467474,-0.37654347514847625,0,Decred
RVR,Scrypt,PoW,210000000.0,210000000.0,-0.16617867972171685,-1.1284129832156145,-0.04514040443888083,3,Revolution VR
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100.0,-0.12377908914590267,-2.245303504626592,0.2908871477538462,3,HOdlcoin
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000.0,-0.31305816291983996,0.8096153442880144,-0.35866638429302194,0,EDRCoin
HTC,X11,PoW/PoS,10996318099.0,26550000000.0,-0.06974539446622147,1.2208380912157453,-0.4662986345254922,0,Hitcoin
GAME,Scrypt,PoW,69836100.0,84000000.0,-0.16878427889805542,-1.1284038227918534,-0.04508459638850198,3,Gamecredits
DBIC,SHA-256,PoW/PoS,5129014.0,10500000.0,-0.3131219019369122,0.8096217743427394,-0.3586660038878857,0,DubaiCoin
DIEM,SHA-256,PoW,21739971929.0,21626280000.0,0.2776903086552225,-1.3209054443322028,0.19706155530836775,3,CarpeDiemCoin
PWR,NIST5,PoW/PoS,10069449031.9252,0.0,-0.23645774881721968,1.4746220840851414,-0.5469523678284695,0,PWR Coin
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000.0,-0.3418610110817642,0.9996424026985052,-0.6095987791016441,0,BillaryCoin
